name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.80652183e-02,9.58846026e-03,5.07610399e-03,2.84233477e-03,1.50603076e-03,7.47868547e-04,3.49925773e-04,1.58480782e-04,7.11549921e-05,3.21887604e-05,1.46789620e-05,6.60451348e-06,2.82078002e-06,1.09377895e-06,3.75942301e-07,1.10685046e-07,2.71067132e-08,5.19954367e-09,5.85608946e-10,1.57020164e-11
Miami FL,-80.19000,25.77000,3.78893749e-03,2.40182889e-03,1.46526604e-03,8.77143058e-04,4.66700454e-04,2.21756216e-04,9.91563432e-05,4.49902579e-05,2.14874547e-05,1.06138575e-05,5.25975036e-06,2.54596619e-06,1.16940631e-06,4.93150992e-07,1.87217589e-07,6.25823853e-08,1.81935338e-08,4.45780490e-09,8.12818770e-10,8.29978946e-11
Washington DC,-77.03000,38.89000,2.06069886e-02,1.15742190e-02,6.55754921e-03,3.90723238e-03,2.18768558e-03,1.12666690e-03,5.33432721e-04,2.37843930e-04,1.01068274e-04,4.11507507e-05,1.61465601e-05,6.20820372e-06,2.34776055e-06,8.53522068e-07,2.93373165e-07,9.27829450e-08,2.61363454e-08,6.25302803e-09,1.10795735e-09,1.08447523e-10
South Bend IN,-86.25000,41.67000,1.92698515e-02,1.00952528e-02,5.25783514e-03,2.88611243e-03,1.48224174e-03,6.98693127e-04,2.99694012e-04,1.18334855e-04,4.35648967e-05,1.53083853e-05,5.33841403e-06,1.91118773e-06,6.98332005e-07,2.48766528e-07,8.20910287e-08,2.35752021e-08,5.65511973e-09,1.06228693e-09,1.14846484e-10,2.57814512e-12
Philadelphia PA,-75.13000,40.00000,2.26502413e-02,1.28018565e-02,7.22365497e-03,4.27681526e-03,2.41104048e-03,1.29560496e-03,6.73430070e-04,3.45803320e-04,1.76108825e-04,8.82919265e-05,4.33125904e-05,2.06035980e-05,9.31111284e-06,3.86658670e-06,1.44689509e-06,4.77372308e-07,1.37211184e-07,3.32847140e-08,5.96065189e-09,5.84027600e-10
