name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,5.48073325e-04,2.65493787e-04,1.32150443e-04,7.29257189e-05,4.00665223e-05,2.20197099e-05,1.22260558e-05,6.95128678e-06,4.02951644e-06,2.34051431e-06,1.33332564e-06,7.29296827e-07,3.73925492e-07,1.73981034e-07,7.08977910e-08,2.34010974e-08,5.00745285e-09,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,8.16260070e-05,4.39967381e-05,2.42376531e-05,1.47133194e-05,8.93385403e-06,5.38342675e-06,3.20276247e-06,1.89385168e-06,1.11737665e-06,6.56294921e-07,3.79538625e-07,2.12073193e-07,1.11763610e-07,5.38353384e-08,2.29278943e-08,7.99769927e-09,1.82761488e-09,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,6.46354739e-04,3.18164470e-04,1.57331283e-04,8.52624030e-05,4.52146968e-05,2.32192730e-05,1.14240827e-05,5.41047988e-06,2.49882855e-06,1.16289741e-06,5.66048570e-07,2.88263765e-07,1.46626511e-07,6.96233437e-08,2.92022585e-08,9.99767208e-09,2.23191241e-09,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,5.65521683e-04,2.57493772e-04,1.17713683e-04,5.88296635e-05,2.82138977e-05,1.28790856e-05,5.63789860e-06,2.46495218e-06,1.12758310e-06,5.53100555e-07,2.84443242e-07,1.46197877e-07,7.20077572e-08,3.26676743e-08,1.31627643e-08,4.33140778e-09,9.24227010e-10,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,7.57973995e-04,4.04856193e-04,2.19819573e-04,1.30684271e-04,7.73228872e-05,4.53780099e-05,2.63030042e-05,1.51063734e-05,8.59854448e-06,4.85558494e-06,2.71764012e-06,1.48897874e-06,7.77324693e-07,3.72008284e-07,1.56764293e-07,5.38290480e-08,1.20398690e-08,0.0,0.0,0.0
