name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.15372188e-03,6.37211112e-04,3.71380358e-04,2.37495108e-04,1.51079499e-04,9.46851150e-05,5.83750053e-05,3.56516246e-05,2.15558645e-05,1.28269764e-05,7.44025336e-06,4.15323065e-06,2.19574109e-06,1.07780263e-06,4.82127278e-07,1.83865717e-07,4.74320870e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,1.47779557e-04,9.59209694e-05,6.44147751e-05,4.56067716e-05,3.16018801e-05,2.12632489e-05,1.38831462e-05,8.85677040e-06,5.52298770e-06,3.35496880e-06,1.97440972e-06,1.11727203e-06,6.01411284e-07,3.02954590e-07,1.40209642e-07,5.56906405e-08,1.49812809e-08,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,1.30048827e-03,7.72291565e-04,4.63928995e-04,2.93647750e-04,1.79256009e-04,1.04897663e-04,5.89934769e-05,3.22705182e-05,1.72160402e-05,8.93045625e-06,4.49147037e-06,2.19246930e-06,1.03996664e-06,4.76605482e-07,2.08175466e-07,8.04810527e-08,2.15252603e-08,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,1.23472747e-03,6.63560267e-04,3.62593040e-04,2.12806630e-04,1.20836197e-04,6.58186491e-05,3.44283596e-05,1.75418975e-05,8.78470301e-06,4.36002865e-06,2.16216567e-06,1.07331854e-06,5.26243307e-07,2.47460673e-07,1.08071203e-07,4.05906844e-08,1.03215916e-08,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,1.42474994e-03,8.93036775e-04,5.87175831e-04,4.10345985e-04,2.80732041e-04,1.86166101e-04,1.19595898e-04,7.50588934e-05,4.60857578e-05,2.75666037e-05,1.59412694e-05,8.83685748e-06,4.65546366e-06,2.30286196e-06,1.05437679e-06,4.17658806e-07,1.12951328e-07,0.0,0.0,0.0
