name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,7.40944932e-04,4.13420525e-04,2.44738439e-04,1.58929883e-04,1.03113730e-04,6.62762670e-05,4.20133278e-05,2.62712831e-05,1.60790090e-05,9.52291724e-06,5.39679318e-06,2.89865625e-06,1.45940813e-06,6.77358172e-07,2.85023653e-07,1.01909726e-07,2.48817561e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,1.12471256e-04,7.06323145e-05,4.60255707e-05,3.20835578e-05,2.21884988e-05,1.50985596e-05,1.00475927e-05,6.53044056e-06,4.11873687e-06,2.50015402e-06,1.45028647e-06,7.99549893e-07,4.15546537e-07,2.00505276e-07,8.82655963e-08,3.31968760e-08,8.51487443e-09,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,8.59248875e-04,4.86085087e-04,2.80866457e-04,1.74289308e-04,1.05929386e-04,6.27023321e-05,3.61428711e-05,2.04209133e-05,1.12759869e-05,6.04075496e-06,3.11841435e-06,1.54436440e-06,7.29687244e-07,3.24813543e-07,1.34160010e-07,4.81355121e-08,1.19857905e-08,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,7.69562067e-04,4.01144665e-04,2.14922566e-04,1.24963890e-04,7.08812951e-05,3.89663861e-05,2.08179231e-05,1.09618661e-05,5.71834350e-06,2.94955362e-06,1.49285490e-06,7.32946754e-07,3.43798576e-07,1.50639413e-07,6.04391279e-08,2.07799598e-08,4.87837722e-09,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,1.00874428e-03,6.29244439e-04,4.09744038e-04,2.85251858e-04,1.96273663e-04,1.32228718e-04,8.67685529e-05,5.55028205e-05,3.44313087e-05,2.05466596e-05,1.17061226e-05,6.33046645e-06,3.22483082e-06,1.52512485e-06,6.58744762e-07,2.43589767e-07,6.18185724e-08,0.0,0.0,0.0
