name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.17897553e-03,6.25251718e-04,3.44181202e-04,2.07622286e-04,1.24502717e-04,7.41902812e-05,4.42645606e-05,2.67832881e-05,1.64137787e-05,1.01194618e-05,6.25841470e-06,3.83609921e-06,2.27033253e-06,1.25672110e-06,6.25769100e-07,2.51801942e-07,6.19266234e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,1.49358593e-04,9.23756955e-05,5.85347697e-05,3.96601267e-05,2.65492653e-05,1.73776659e-05,1.11063567e-05,6.99768184e-06,4.36532947e-06,2.69707693e-06,1.66032489e-06,1.02259345e-06,6.18493473e-07,3.53345623e-07,1.81456686e-07,7.44452034e-08,1.82935677e-08,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,1.31648352e-03,7.49186733e-04,4.26846109e-04,2.57147781e-04,1.49913832e-04,8.44211369e-05,4.59086348e-05,2.42420615e-05,1.23861955e-05,6.11698070e-06,3.02502299e-06,1.59204340e-06,8.84806240e-07,4.82729127e-07,2.40969561e-07,9.68784683e-08,2.33553556e-08,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,1.25912611e-03,6.48820457e-04,3.34905931e-04,1.85223442e-04,9.86312125e-05,5.03678518e-05,2.47128664e-05,1.18547403e-05,5.68919753e-06,2.83141453e-06,1.51899358e-06,8.66693587e-07,4.92591614e-07,2.62628241e-07,1.25867807e-07,4.89619325e-08,1.16786543e-08,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,1.44765643e-03,8.69049248e-04,5.41079604e-04,3.59604512e-04,2.34345505e-04,1.49348409e-04,9.36137446e-05,5.82688086e-05,3.59696364e-05,2.18657492e-05,1.31028679e-05,7.79045299e-06,4.54880606e-06,2.52896314e-06,1.27745992e-06,5.18041755e-07,1.25537737e-07,0.0,0.0,0.0
