name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,4.77681706e-03,2.37493302e-03,1.28971669e-03,8.02177572e-04,5.09934371e-04,3.24964756e-04,2.04488350e-04,1.26342127e-04,7.60196690e-05,4.41579105e-05,2.45509755e-05,1.29393693e-05,6.37477255e-06,2.87325897e-06,1.15908719e-06,3.90819540e-07,8.83422259e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,5.59050614e-04,3.51503897e-04,2.35764784e-04,1.67836199e-04,1.16939121e-04,7.88589904e-05,5.12723399e-05,3.22945392e-05,1.97092246e-05,1.16192189e-05,6.58793760e-06,3.56861849e-06,1.82478727e-06,8.63041686e-07,3.68997941e-07,1.33080013e-07,3.22472925e-08,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,5.24993940e-03,2.88505816e-03,1.64295459e-03,1.00325053e-03,5.93329556e-04,3.36755064e-04,1.83547367e-04,9.73514801e-05,5.05510029e-05,2.57199986e-05,1.28111904e-05,6.22893085e-06,2.92711061e-06,1.30200878e-06,5.34201250e-07,1.87677191e-07,4.48635489e-08,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,5.08022395e-03,2.45029946e-03,1.22473652e-03,6.75571609e-04,3.65321431e-04,1.92115076e-04,9.85627744e-05,5.01231768e-05,2.54211863e-05,1.28451917e-05,6.42227499e-06,3.13277139e-06,1.45857978e-06,6.30210158e-07,2.46392878e-07,8.12868598e-08,1.80548328e-08,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,5.75447221e-03,3.35646359e-03,2.13910829e-03,1.48660518e-03,1.02213495e-03,6.83114222e-04,4.40111305e-04,2.74112911e-04,1.64945128e-04,9.55479180e-05,5.30256879e-05,2.80381194e-05,1.39978573e-05,6.48409372e-06,2.72985364e-06,9.74911838e-07,2.35494844e-07,0.0,0.0,0.0
