name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.03484825e-03,5.26451403e-04,2.71856862e-04,1.52461418e-04,8.36291908e-05,4.49515441e-05,2.40070772e-05,1.30544396e-05,7.30434141e-06,4.18363796e-06,2.40657746e-06,1.35582820e-06,7.29191826e-07,3.62605914e-07,1.61675146e-07,5.96590070e-08,1.44332816e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,1.39810566e-04,7.98094382e-05,4.60229144e-05,2.85612873e-05,1.75181461e-05,1.05679779e-05,6.25556266e-06,3.65374713e-06,2.11522673e-06,1.22159872e-06,7.05386765e-07,4.03095815e-07,2.22833984e-07,1.15372244e-07,5.40305246e-08,2.11271271e-08,5.43452960e-09,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,1.17371220e-03,6.29215506e-04,3.35324633e-04,1.90890158e-04,1.04995278e-04,5.53549355e-05,2.78043331e-05,1.33219851e-05,6.09296972e-06,2.70996813e-06,1.22699704e-06,5.90029955e-07,2.98641851e-07,1.49608935e-07,6.89913904e-08,2.65831432e-08,6.73414500e-09,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,1.10248807e-03,5.43479961e-04,2.66047733e-04,1.39414286e-04,6.93185187e-05,3.23006552e-05,1.41013209e-05,5.92395985e-06,2.50140189e-06,1.12459840e-06,5.53453770e-07,2.86409411e-07,1.45945960e-07,6.94948903e-08,2.99577573e-08,1.08188850e-08,2.58686281e-09,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,1.30423898e-03,7.36897656e-04,4.21158991e-04,2.57902166e-04,1.54945368e-04,9.11366793e-05,5.25935138e-05,2.99865362e-05,1.69004417e-05,9.43349707e-06,5.23753127e-06,2.88992517e-06,1.56038399e-06,7.97067511e-07,3.69847191e-07,1.42989026e-07,3.62922343e-08,0.0,0.0,0.0
