name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,2.10999820e-03,1.09052066e-03,5.81623059e-04,3.47102681e-04,2.08688075e-04,1.24273227e-04,7.26912416e-05,4.22259639e-05,2.45591111e-05,1.44144858e-05,8.55267183e-06,5.03400528e-06,2.83896867e-06,1.47283971e-06,6.71270851e-07,2.40759080e-07,5.17989989e-08,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,2.29625122e-04,1.41019144e-04,9.26429083e-05,6.56163481e-05,4.54623322e-05,2.99636093e-05,1.86752105e-05,1.12314821e-05,6.63345073e-06,3.89119743e-06,2.28913641e-06,1.35111521e-06,7.79875387e-07,4.20774112e-07,2.00902631e-07,7.52114783e-08,1.66008397e-08,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,2.18483558e-03,1.25853665e-03,7.47183208e-04,4.70179377e-04,2.82182874e-04,1.57977358e-04,8.18515962e-05,3.98889488e-05,1.86041629e-05,8.53784188e-06,4.06115333e-06,2.08284198e-06,1.10389753e-06,5.59915253e-07,2.55675942e-07,9.27700007e-08,1.99429008e-08,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,2.25991234e-03,1.17143412e-03,6.10292148e-04,3.40903021e-04,1.81935262e-04,9.11342656e-05,4.25548799e-05,1.89648914e-05,8.40392150e-06,3.94098191e-06,2.03994492e-06,1.12698160e-06,6.14166148e-07,3.06822379e-07,1.32499088e-07,4.45032501e-08,8.95766418e-09,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,2.35765893e-03,1.36559945e-03,8.55239266e-04,5.88676945e-04,3.98923731e-04,2.58612466e-04,1.59193646e-04,9.45975869e-05,5.50828600e-05,3.17568066e-05,1.82515012e-05,1.04125329e-05,5.75127405e-06,2.96634453e-06,1.36775005e-06,4.99004405e-07,1.07486045e-07,0.0,0.0,0.0
