name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,2.65204307e-03,1.51629845e-03,8.75744214e-04,5.44567162e-04,3.32794527e-04,1.98195733e-04,1.14869979e-04,6.55792165e-05,3.72782597e-05,2.12740858e-05,1.22453654e-05,7.07645173e-06,4.05156406e-06,2.23383632e-06,1.14764095e-06,5.21336010e-07,1.95402969e-07,5.39908636e-08,7.24683667e-09,0.0
Miami FL,-80.19000,25.77000,2.64635593e-04,1.66328391e-04,1.11300947e-04,7.94673747e-05,5.56801936e-05,3.76579110e-05,2.44137997e-05,1.53033817e-05,9.35700337e-06,5.61312033e-06,3.31902026e-06,1.93301160e-06,1.10782691e-06,6.18183540e-07,3.27467112e-07,1.55408590e-07,6.11313256e-08,1.76280046e-08,2.43227008e-09,0.0
Washington DC,-77.03000,38.89000,2.64273427e-03,1.60646163e-03,1.00091960e-03,6.58557124e-04,4.17077164e-04,2.50450763e-04,1.42100855e-04,7.70420984e-05,4.01658400e-05,2.01469236e-05,9.69948493e-06,4.47657848e-06,2.04024861e-06,9.62950948e-07,4.68073099e-07,2.13490018e-07,8.18190734e-08,2.30877152e-08,3.13110230e-09,0.0
South Bend IN,-86.25000,41.67000,2.83088067e-03,1.61660642e-03,9.26125257e-04,5.62760674e-04,3.28173875e-04,1.81103225e-04,9.40246970e-05,4.62850217e-05,2.16932716e-05,9.74880715e-06,4.31715745e-06,1.97627745e-06,9.71236382e-07,4.96495008e-07,2.45493558e-07,1.08241572e-07,3.95146329e-08,1.06004704e-08,1.36497714e-09,0.0
Philadelphia PA,-75.13000,40.00000,2.86639952e-03,1.74665157e-03,1.11168497e-03,7.63973143e-04,5.17864985e-04,3.39562345e-04,2.13836189e-04,1.30790008e-04,7.85132308e-05,4.64688838e-05,2.71118964e-05,1.54822750e-05,8.62483071e-06,4.66261219e-06,2.40419952e-06,1.11941855e-06,4.33858501e-07,1.23400300e-07,1.68199443e-08,0.0
