name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,2.16936750e-03,1.25739771e-03,7.50702453e-04,4.82836776e-04,3.05746667e-04,1.89206189e-04,1.14473679e-04,6.84024991e-05,4.04851937e-05,2.36532241e-05,1.35401512e-05,7.51860975e-06,3.99744408e-06,2.00300094e-06,9.40283079e-07,4.04695405e-07,1.55332098e-07,4.94548676e-08,8.64772914e-09,0.0
Miami FL,-80.19000,25.77000,2.86737127e-04,1.79039553e-04,1.16362367e-04,8.06298018e-05,5.50728558e-05,3.68303017e-05,2.41189832e-05,1.55715581e-05,9.89742790e-06,6.14970344e-06,3.70423856e-06,2.14734551e-06,1.18809445e-06,6.21283940e-07,3.06524140e-07,1.40049092e-07,5.76220147e-08,1.97645491e-08,3.72223615e-09,0.0
Washington DC,-77.03000,38.89000,2.31754774e-03,1.39795039e-03,8.60267098e-04,5.61235963e-04,3.55921310e-04,2.17367293e-04,1.27628032e-04,7.27086860e-05,4.03132470e-05,2.17129055e-05,1.13204663e-05,5.69370111e-06,2.74888389e-06,1.26439784e-06,5.56390848e-07,2.30870749e-07,8.82085839e-08,2.87448015e-08,5.22970055e-09,0.0
South Bend IN,-86.25000,41.67000,2.34413534e-03,1.34143040e-03,7.78871911e-04,4.81340169e-04,2.87209739e-04,1.63304935e-04,8.80506789e-05,4.54436618e-05,2.26049853e-05,1.09193162e-05,5.17582106e-06,2.42875863e-06,1.12547558e-06,5.07111938e-07,2.19920702e-07,8.90519779e-08,3.25616808e-08,9.95197511e-09,1.69454408e-09,0.0
Philadelphia PA,-75.13000,40.00000,2.52442707e-03,1.56916618e-03,1.01478602e-03,7.02721631e-04,4.81059318e-04,3.22621279e-04,2.11311553e-04,1.35757599e-04,8.54235725e-05,5.23591593e-05,3.10537437e-05,1.77071855e-05,9.63294034e-06,4.95065529e-06,2.39822104e-06,1.07479226e-06,4.33817326e-07,1.46315386e-07,2.71547820e-08,0.0
