name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.53871278e-03,8.09772240e-04,4.34344910e-04,2.51800403e-04,1.41979298e-04,7.73941109e-05,4.09460796e-05,2.14021562e-05,1.11653370e-05,5.85209866e-06,3.09093251e-06,1.63779773e-06,8.56536607e-07,4.30403727e-07,2.02680233e-07,8.53167885e-08,3.05461752e-08,8.52702248e-09,1.23492761e-09,0.0
Miami FL,-80.19000,25.77000,1.78836720e-04,1.04178410e-04,6.13395426e-05,3.85230014e-05,2.38051624e-05,1.44640305e-05,8.63152890e-06,5.07157343e-06,2.91677457e-06,1.63669392e-06,8.99276349e-07,4.86730093e-07,2.58932983e-07,1.33174244e-07,6.48755297e-08,2.86615067e-08,1.09075865e-08,3.28289197e-09,5.18136421e-10,0.0
Washington DC,-77.03000,38.89000,1.63246019e-03,9.01964887e-04,4.97341674e-04,2.91575376e-04,1.65299568e-04,9.02910226e-05,4.74959205e-05,2.41294057e-05,1.17011878e-05,5.35095705e-06,2.31591251e-06,9.79765629e-07,4.24771735e-07,1.92245897e-07,8.83687496e-08,3.79593846e-08,1.40798828e-08,4.12428962e-09,6.34879895e-10,0.0
South Bend IN,-86.25000,41.67000,1.64160490e-03,8.49563940e-04,4.41091003e-04,2.45456676e-04,1.30819289e-04,6.59389278e-05,3.12181413e-05,1.39581168e-05,5.90216469e-06,2.39101823e-06,9.63582754e-07,4.06979946e-07,1.84389743e-07,8.65801290e-08,3.96834159e-08,1.65181539e-08,5.86942619e-09,1.62260350e-09,2.30376052e-10,0.0
Philadelphia PA,-75.13000,40.00000,1.78587012e-03,1.02046869e-03,5.92984133e-04,3.67807576e-04,2.22863428e-04,1.31599895e-04,7.59280060e-05,4.31653004e-05,2.40875872e-05,1.31286573e-05,7.00057822e-06,3.68112047e-06,1.91240264e-06,9.66415098e-07,4.64292120e-07,2.01979017e-07,7.54452822e-08,2.21950106e-08,3.42557506e-09,0.0
