name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.00386028e-02,5.84433580e-03,3.44724321e-03,2.20066289e-03,1.40131578e-03,8.86669744e-04,5.55228984e-04,3.43597664e-04,2.08313872e-04,1.22529172e-04,6.94184147e-05,3.76871591e-05,1.94722041e-05,9.46997518e-06,4.31747775e-06,1.80469300e-06,6.70529219e-07,2.04897617e-07,3.41315789e-08,0.0
Miami FL,-80.19000,25.77000,9.15059918e-04,6.09907627e-04,4.38779242e-04,3.34213601e-04,2.49779049e-04,1.80109855e-04,1.24195164e-04,8.20425915e-05,5.19453732e-05,3.14960386e-05,1.82886551e-05,1.01776574e-05,5.41774991e-06,2.73943914e-06,1.31336373e-06,5.84859533e-07,2.34338084e-07,7.77774710e-08,1.40854152e-08,0.0
Washington DC,-77.03000,38.89000,9.85734613e-03,6.17007665e-03,3.99111519e-03,2.72934687e-03,1.80770861e-03,1.13969812e-03,6.78431829e-04,3.83699928e-04,2.07067724e-04,1.06955786e-04,5.30892455e-05,2.54142689e-05,1.17466327e-05,5.23416785e-06,2.26146601e-06,9.30772237e-07,3.53355675e-07,1.13384525e-07,2.00822330e-08,0.0
South Bend IN,-86.25000,41.67000,1.06767608e-02,6.21679863e-03,3.64496395e-03,2.27176087e-03,1.36914582e-03,7.87889209e-04,4.30751597e-04,2.25406504e-04,1.13398184e-04,5.51020356e-05,2.60347950e-05,1.20422952e-05,5.45560010e-06,2.39783055e-06,1.01532796e-06,4.02678313e-07,1.44359579e-07,4.30608401e-08,7.11925903e-09,0.0
Philadelphia PA,-75.13000,40.00000,1.07298693e-02,6.70025950e-03,4.41752804e-03,3.16447877e-03,2.26679451e-03,1.59315528e-03,1.08288001e-03,7.08889885e-04,4.45184527e-04,2.67359803e-04,1.53379672e-04,8.40625410e-05,4.39316125e-05,2.17699932e-05,1.02337921e-05,4.47720149e-06,1.76857297e-06,5.81512955e-07,1.04523615e-07,0.0
