name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,3.44537458e-03,2.12691934e-03,1.31206439e-03,8.58796790e-04,5.52323004e-04,3.47114736e-04,2.12427241e-04,1.26982324e-04,7.40205192e-05,4.19899532e-05,2.31763633e-05,1.24532055e-05,6.49159553e-06,3.25150071e-06,1.55969979e-06,7.01975611e-07,2.87258470e-07,9.81781243e-08,1.84168083e-08,0.0
Miami FL,-80.19000,25.77000,3.44544111e-04,2.20639117e-04,1.51674258e-04,1.12276231e-04,8.25843160e-05,5.92408313e-05,4.09069718e-05,2.71421746e-05,1.72959234e-05,1.05836102e-05,6.22038251e-06,3.51392523e-06,1.90397416e-06,9.84582837e-07,4.87904177e-07,2.28893104e-07,9.89188795e-08,3.61296001e-08,7.27249426e-09,0.0
Washington DC,-77.03000,38.89000,3.38958991e-03,2.17414355e-03,1.43026992e-03,9.95433826e-04,6.75833608e-04,4.40313461e-04,2.72532618e-04,1.60650700e-04,9.02871668e-05,4.83464843e-05,2.46331437e-05,1.19184808e-05,5.45278169e-06,2.35423057e-06,9.77953542e-07,3.94677011e-07,1.53906080e-07,5.34963423e-08,1.06071389e-08,0.0
South Bend IN,-86.25000,41.67000,3.68441188e-03,2.27159020e-03,1.39957205e-03,9.08444336e-04,5.70557717e-04,3.42259388e-04,1.94558275e-04,1.05071165e-04,5.38059514e-05,2.60576645e-05,1.19527432e-05,5.24025995e-06,2.22716375e-06,9.31878120e-07,3.91846743e-07,1.62906590e-07,6.40326580e-08,2.14165923e-08,3.95093037e-09,0.0
Philadelphia PA,-75.13000,40.00000,3.67389682e-03,2.35524921e-03,1.55818891e-03,1.10830247e-03,7.85860313e-04,5.46800501e-04,3.68282391e-04,2.39283403e-04,1.49687058e-04,9.01012643e-05,5.21862577e-05,2.90726675e-05,1.55208544e-05,7.89334390e-06,3.84402808e-06,1.77570923e-06,7.59495701e-07,2.76433752e-07,5.57100705e-08,0.0
