name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.51586919e-03,8.61021406e-04,5.12590301e-04,3.31496684e-04,2.11988156e-04,1.32796848e-04,8.13724777e-05,4.91594573e-05,2.93083501e-05,1.71659451e-05,9.80527647e-06,5.41477559e-06,2.85868951e-06,1.42399082e-06,6.65849131e-07,2.86003830e-07,1.09707074e-07,3.49211744e-08,6.11097099e-09,0.0
Miami FL,-80.19000,25.77000,2.03331014e-04,1.26909958e-04,8.25662480e-05,5.72687916e-05,3.91763858e-05,2.62578963e-05,1.72302421e-05,1.11234184e-05,7.04416103e-06,4.34389113e-06,2.58980295e-06,1.48382436e-06,8.11612172e-07,4.20276444e-07,2.05626122e-07,9.31552990e-08,3.79451172e-08,1.28555020e-08,2.39045192e-09,0.0
Washington DC,-77.03000,38.89000,1.65095805e-03,9.72198251e-04,5.86350223e-04,3.76441840e-04,2.35214643e-04,1.41827010e-04,8.24809105e-05,4.67269772e-05,2.58578583e-05,1.39383741e-05,7.28377078e-06,3.67541944e-06,1.78102513e-06,8.23057041e-07,3.63934793e-07,1.51460853e-07,5.78624716e-08,1.87432562e-08,3.37795675e-09,0.0
South Bend IN,-86.25000,41.67000,1.62538716e-03,9.00284454e-04,5.11844357e-04,3.12431823e-04,1.84859693e-04,1.04661390e-04,5.64772312e-05,2.93423417e-05,1.47795872e-05,7.26357696e-06,3.50848323e-06,1.67346740e-06,7.83615578e-07,3.54974137e-07,1.54474371e-07,6.27774276e-08,2.30362972e-08,7.09008257e-09,1.21249583e-09,0.0
Philadelphia PA,-75.13000,40.00000,1.82894571e-03,1.13106159e-03,7.32935802e-04,5.08511457e-04,3.48219604e-04,2.33099760e-04,1.52034111e-04,9.70428303e-05,6.05355306e-05,3.67123485e-05,2.15155333e-05,1.21194412e-05,6.52058048e-06,3.32172748e-06,1.59813617e-06,7.11819703e-07,2.85460151e-07,9.53623430e-08,1.75057198e-08,0.0
