name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.87424153e-03,1.02047474e-03,5.64749056e-04,3.35837418e-04,1.93862999e-04,1.07822240e-04,5.78932292e-05,3.04877625e-05,1.59045859e-05,8.28329809e-06,4.33936044e-06,2.29257471e-06,1.21068585e-06,6.24974542e-07,3.08698953e-07,1.39578232e-07,5.48267960e-08,1.71159762e-08,2.81897886e-09,0.0
Miami FL,-80.19000,25.77000,2.13257428e-04,1.26813111e-04,7.63567269e-05,4.87368256e-05,3.04885681e-05,1.87218244e-05,1.13061881e-05,6.74007654e-06,3.93922697e-06,2.24214875e-06,1.24398829e-06,6.77803160e-07,3.64168587e-07,1.91389904e-07,9.70339132e-08,4.56189010e-08,1.88678488e-08,6.26318871e-09,1.10273911e-09,0.0
Washington DC,-77.03000,38.89000,1.95665866e-03,1.11723750e-03,6.37621641e-04,3.84681020e-04,2.23985197e-04,1.25445411e-04,6.76689224e-05,3.53717703e-05,1.77413937e-05,8.41161376e-06,3.74603944e-06,1.59306864e-06,6.74829422e-07,2.96866153e-07,1.36554170e-07,6.15857167e-08,2.48037099e-08,8.02796445e-09,1.37803567e-09,0.0
South Bend IN,-86.25000,41.67000,2.00442862e-03,1.07887608e-03,5.82443320e-04,3.35324616e-04,1.85089001e-04,9.67521382e-05,4.75897719e-05,2.21210271e-05,9.68756295e-06,4.00587480e-06,1.60102638e-06,6.50075473e-07,2.81605840e-07,1.30393306e-07,6.16160767e-08,2.73809155e-08,1.06675302e-08,3.29773541e-09,5.38521035e-10,0.0
Philadelphia PA,-75.13000,40.00000,2.12944985e-03,1.24653619e-03,7.42525158e-04,4.70007506e-04,2.89954200e-04,1.73864395e-04,1.01651517e-04,5.85260593e-05,3.31166306e-05,1.83011456e-05,9.86625555e-06,5.22381145e-06,2.73525061e-06,1.40842740e-06,7.02936050e-07,3.25599543e-07,1.32372154e-07,4.30849415e-08,7.42127686e-09,0.0
