name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,2.16207401e-03,1.17849543e-03,6.46374112e-04,3.79528774e-04,2.15474147e-04,1.17446947e-04,6.16358956e-05,3.17015307e-05,1.61994294e-05,8.31266430e-06,4.31622317e-06,2.26175782e-06,1.17558937e-06,5.89087813e-07,2.78054212e-07,1.18207792e-07,4.30396484e-08,1.23330799e-08,1.84301479e-09,0.0
Miami FL,-80.19000,25.77000,2.43830683e-04,1.44061400e-04,8.70128512e-05,5.59563108e-05,3.52630395e-05,2.17108665e-05,1.30435997e-05,7.66821955e-06,4.39171931e-06,2.44132510e-06,1.32367142e-06,7.06978147e-07,3.72998658e-07,1.91819444e-07,9.44668148e-08,4.26627287e-08,1.67433342e-08,5.22431589e-09,8.57514393e-10,0.0
Washington DC,-77.03000,38.89000,2.24170035e-03,1.28712469e-03,7.38616701e-04,4.47143415e-04,2.60410012e-04,1.45115130e-04,7.72880852e-05,3.94823696e-05,1.91491599e-05,8.69708355e-06,3.70029952e-06,1.51879664e-06,6.34473923e-07,2.79553390e-07,1.28168523e-07,5.61821107e-08,2.15144208e-08,6.55585354e-09,1.04757524e-09,0.0
South Bend IN,-86.25000,41.67000,2.31620553e-03,1.25249970e-03,6.73128022e-04,3.83367852e-04,2.07793229e-04,1.05716124e-04,5.00911987e-05,2.22051437e-05,9.21875485e-06,3.63048831e-06,1.41432580e-06,5.79814589e-07,2.57604953e-07,1.19198107e-07,5.40228369e-08,2.24012682e-08,8.04763995e-09,2.27526690e-09,3.37958059e-10,0.0
Philadelphia PA,-75.13000,40.00000,2.42796259e-03,1.42069950e-03,8.47049965e-04,5.37539822e-04,3.32183569e-04,1.98888191e-04,1.15576095e-04,6.57709627e-05,3.66058435e-05,1.98167920e-05,1.04428334e-05,5.40548351e-06,2.76857653e-06,1.39071030e-06,6.73282513e-07,2.99448930e-07,1.15425093e-07,3.53021223e-08,5.65302499e-09,0.0
