name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,5.32045760e-03,2.78485687e-03,1.47083860e-03,8.32695522e-04,4.52579299e-04,2.33969648e-04,1.15323862e-04,5.52610251e-05,2.61105508e-05,1.22572397e-05,5.70987304e-06,2.60667446e-06,1.13809776e-06,4.58825029e-07,1.66633213e-07,5.21013814e-08,1.33268975e-08,2.51868210e-09,2.63901486e-10,5.46895562e-12
Miami FL,-80.19000,25.77000,6.82900543e-04,3.67255628e-04,2.01273337e-04,1.19691007e-04,7.01820251e-05,4.04983060e-05,2.30089798e-05,1.29168140e-05,7.11425681e-06,3.80428568e-06,1.95970679e-06,9.68340815e-07,4.54842453e-07,1.99091013e-07,7.98418172e-08,2.82222065e-08,8.45396002e-09,2.01625307e-09,3.25357171e-10,2.38937660e-11
Washington DC,-77.03000,38.89000,5.57770942e-03,2.95852577e-03,1.58833591e-03,9.17590950e-04,5.13040839e-04,2.74897297e-04,1.40631130e-04,6.90678066e-05,3.24379229e-05,1.44679519e-05,6.11303478e-06,2.45987917e-06,9.52415659e-07,3.55837591e-07,1.28200118e-07,4.24346666e-08,1.21417499e-08,2.78910155e-09,4.28874461e-10,2.81661546e-11
South Bend IN,-86.25000,41.67000,5.64881330e-03,2.90315767e-03,1.49825838e-03,8.25969179e-04,4.32220512e-04,2.10983416e-04,9.52078201e-05,4.00281653e-05,1.57732097e-05,5.89792311e-06,2.14688894e-06,7.85581527e-07,2.93221328e-07,1.08032676e-07,3.73242616e-08,1.13158017e-08,2.83257232e-09,5.25651136e-10,5.35135663e-11,9.61373976e-13
Philadelphia PA,-75.13000,40.00000,6.23592646e-03,3.41487342e-03,1.90117192e-03,1.14028196e-03,6.68389336e-04,3.80859629e-04,2.11253545e-04,1.15183572e-04,6.17198452e-05,3.22874279e-05,1.63707370e-05,7.97898509e-06,3.68903895e-06,1.58459322e-06,6.22808849e-07,2.15740079e-07,6.33507346e-08,1.47990422e-08,2.30674625e-09,1.52076391e-10
