name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,5.90321508e-04,3.17678200e-04,1.71898399e-04,9.94378864e-05,5.55126290e-05,2.97741092e-05,1.54388394e-05,7.88607262e-06,3.99663276e-06,2.00132355e-06,9.77609326e-07,4.56961568e-07,2.00244117e-07,8.01107963e-08,2.88036737e-08,8.97257377e-09,2.30756454e-09,4.42790150e-10,4.80265368e-11,1.74077413e-12
Miami FL,-80.19000,25.77000,9.33163947e-05,5.31528052e-05,3.06223849e-05,1.88965509e-05,1.14366125e-05,6.78226313e-06,3.95518627e-06,2.28487966e-06,1.30127096e-06,7.22428602e-07,3.85603640e-07,1.95595001e-07,9.33407598e-08,4.12018723e-08,1.66470880e-08,5.98196533e-09,1.85364604e-09,4.69505229e-10,8.55514541e-11,8.68827902e-12
Washington DC,-77.03000,38.89000,6.49801946e-04,3.56195683e-04,1.97647247e-04,1.17439458e-04,6.75725141e-05,3.73253752e-05,1.97589261e-05,1.01036060e-05,4.98571492e-06,2.36273168e-06,1.07060900e-06,4.61603908e-07,1.89029268e-07,7.30516539e-08,2.66481139e-08,8.89378353e-09,2.60417659e-09,6.27701909e-10,1.07212948e-10,9.69366863e-12
South Bend IN,-86.25000,41.67000,6.11087219e-04,3.19218122e-04,1.66273017e-04,9.19017148e-05,4.80470719e-05,2.34190915e-05,1.06048608e-05,4.53586380e-06,1.86355200e-06,7.51384027e-07,3.03386004e-07,1.22706367e-07,4.87382749e-08,1.82086513e-08,6.21818099e-09,1.85496620e-09,4.55581919e-10,8.15401141e-11,7.31801817e-12,1.23542731e-13
Philadelphia PA,-75.13000,40.00000,7.78496668e-04,4.46150530e-04,2.59544271e-04,1.61761363e-04,9.87715604e-05,5.88529840e-05,3.42774936e-05,1.96701930e-05,1.10862657e-05,6.07789216e-06,3.20352842e-06,1.60479791e-06,7.54068133e-07,3.26471702e-07,1.28973006e-07,4.51795527e-08,1.36150400e-08,3.34218168e-09,5.78014718e-10,5.22940114e-11
