name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,8.81374910e-04,4.44374411e-04,2.16433465e-04,1.09241513e-04,5.02671602e-05,2.07633801e-05,7.77621171e-06,2.80964876e-06,1.06973787e-06,4.51396038e-07,2.01408807e-07,8.59483852e-08,3.21110969e-08,9.83065736e-09,2.31486130e-09,3.54829024e-10,2.16196659e-11,6.96976478e-14,0.0,0.0
Miami FL,-80.19000,25.77000,1.26614105e-04,6.54590821e-05,3.30386514e-05,1.75340604e-05,8.80323699e-06,4.20599478e-06,1.94276734e-06,8.88966061e-07,4.07969142e-07,1.87589803e-07,8.58841900e-08,3.81304456e-08,1.55232371e-08,5.36995962e-09,1.49543287e-09,3.02945348e-10,3.47130734e-11,7.31822282e-13,0.0,0.0
Washington DC,-77.03000,38.89000,9.41621898e-04,4.86571655e-04,2.46757987e-04,1.31103493e-04,6.47214835e-05,2.91766889e-05,1.18903830e-05,4.40457222e-06,1.49566244e-06,4.80217491e-07,1.56200253e-07,5.58460557e-08,2.10871033e-08,7.02984238e-09,1.89095132e-09,3.67053154e-10,3.87541682e-11,8.37770188e-13,0.0,0.0
South Bend IN,-86.25000,41.67000,9.48181461e-04,4.74912927e-04,2.28981668e-04,1.13671207e-04,5.06023605e-05,1.95476152e-05,6.39950501e-06,1.79098821e-06,4.53066869e-07,1.23259546e-07,4.36065516e-08,1.76613917e-08,6.45211933e-09,1.92951790e-09,4.37577803e-10,6.20293617e-11,2.62413881e-12,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,1.05019039e-03,5.49903489e-04,2.83328675e-04,1.53876499e-04,7.89036539e-05,3.79771499e-05,1.72730491e-05,7.62197350e-06,3.33718479e-06,1.47244859e-06,6.53725890e-07,2.82097980e-07,1.11835439e-07,3.76635515e-08,1.01855976e-08,1.98053859e-09,2.09330587e-10,4.49684934e-12,0.0,0.0
