name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,3.67660339e-04,1.95841831e-04,1.05227425e-04,6.06142963e-05,3.37718082e-05,1.81410970e-05,9.46914754e-06,4.89709444e-06,2.52520877e-06,1.29021964e-06,6.41969682e-07,3.04781351e-07,1.35015108e-07,5.43164078e-08,1.95243367e-08,6.02314153e-09,1.51253307e-09,2.76116166e-10,2.77983216e-11,7.72625728e-13
Miami FL,-80.19000,25.77000,5.76876876e-05,3.21255027e-05,1.82080171e-05,1.11383127e-05,6.71828534e-06,3.99030775e-06,2.33936686e-06,1.36134961e-06,7.81583547e-07,4.37232961e-07,2.34809150e-07,1.19764369e-07,5.72933749e-08,2.52095237e-08,1.00771666e-08,3.54743711e-09,1.06280315e-09,2.54473041e-10,4.24764563e-11,3.84078841e-12
Washington DC,-77.03000,38.89000,3.95781709e-04,2.12781138e-04,1.16415923e-04,6.85208984e-05,3.91459420e-05,2.15322627e-05,1.13905653e-05,5.84293825e-06,2.90194565e-06,1.38869838e-06,6.35961077e-07,2.77195194e-07,1.14605765e-07,4.45091285e-08,1.61781742e-08,5.31184900e-09,1.50383435e-09,3.40903248e-10,5.27136016e-11,4.22436314e-12
South Bend IN,-86.25000,41.67000,3.70214980e-04,1.90864234e-04,9.85207847e-05,5.41319838e-05,2.81882688e-05,1.37281676e-05,6.24416845e-06,2.70380795e-06,1.13564071e-06,4.72794280e-07,1.97139391e-07,8.18054092e-08,3.30475975e-08,1.24508431e-08,4.25787589e-09,1.25689898e-09,3.01507863e-10,5.10301078e-11,4.11333641e-12,5.64649264e-15
Philadelphia PA,-75.13000,40.00000,4.96030288e-04,2.78824351e-04,1.59653582e-04,9.83840421e-05,5.95484564e-05,3.52826885e-05,2.05141757e-05,1.17962736e-05,6.68301578e-06,3.68953465e-06,1.95776994e-06,9.85876613e-07,4.64148260e-07,2.00294563e-07,7.83042350e-08,2.68946662e-08,7.83559485e-09,1.81202387e-09,2.84202923e-10,2.27819513e-11
