name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63000,41.88000,1.89543354e-02,9.84753927e-03,5.38795316e-03,3.28555493e-03,2.01307621e-03,1.22730022e-03,7.41972261e-04,4.47009833e-04,2.67553106e-04,1.58087400e-04,9.15650351e-05,5.14131943e-05,2.74799957e-05,1.36292657e-05,6.08973704e-06,2.24751802e-06,5.34456574e-07,0.0,0.0,0.0
Miami FL,-80.19000,25.77000,3.48126899e-03,2.11887596e-03,1.23938229e-03,7.65959355e-04,4.79108562e-04,3.02265927e-04,1.88787486e-04,1.16527275e-04,7.09333110e-05,4.24266492e-05,2.48283258e-05,1.41571223e-05,7.76430854e-06,3.99159045e-06,1.85976070e-06,7.16251868e-07,1.76727709e-07,0.0,0.0,0.0
Washington DC,-77.03000,38.89000,2.24077244e-02,1.28549652e-02,7.41250274e-03,4.47533818e-03,2.58318406e-03,1.43003415e-03,7.63267327e-04,3.96700652e-04,2.01384063e-04,1.00259923e-04,4.95441453e-05,2.46164013e-05,1.21898662e-05,5.82559691e-06,2.58478334e-06,9.66017452e-07,2.34596255e-07,0.0,0.0,0.0
South Bend IN,-86.25000,41.67000,2.01800746e-02,1.02278675e-02,5.26890005e-03,2.93925900e-03,1.58569623e-03,8.19785189e-04,4.06893173e-04,1.97827564e-04,9.59865936e-05,4.73178227e-05,2.39345918e-05,1.22809622e-05,6.18526750e-06,2.93312205e-06,1.26080080e-06,4.50176120e-07,1.04178585e-07,0.0,0.0,0.0
Philadelphia PA,-75.13000,40.00000,2.41076152e-02,1.41946282e-02,8.76116834e-03,5.85846221e-03,3.88379727e-03,2.51663050e-03,1.58489217e-03,9.75935233e-04,5.88154620e-04,3.45946917e-04,1.98001234e-04,1.09915011e-04,5.85529755e-05,2.92985433e-05,1.33736114e-05,5.07967730e-06,1.24339641e-06,0.0,0.0,0.0
